day,dist_wb,route_wb,from,to,description_wb
1,80, Helsinki - Porvoo - Loviisa (ca. 80 km Rad),Helsinki,Loviisa,"Ankunft am Morgen im Hafen bei Helsinki und Fahrt ueber Porvoo nach Loviisa an der Suedkueste Finnlands. Lovissa ist ein malerisches Staedtchen an der Bucht des Golf von Finnlands. Im 19. Jahrhundert teilweise niedergeprannt,ist die Suedstadt mit ihrer alten Holzhaeusern erhalten geblieben."
2,70, Loviisa - Kotka - Hamina (ca. 70 km Rad),Loviisa,Hamina,Ihre Radtour geht weiter entlang der Kueste ueber Kotka nach Hamina. Hier sollten Sie sich auf jeden Fall das Zentrum aus der Gruenderzeit mit seinem Rathaus anschauen.
3,110, Hamina - Vyborg (ca. 110 km Rad),Hamina,Vyborg,"Heute sollten Sie zeitig starten. Entlang der finnischen Kueste geht es zunaechst zur finnisch-russischen Grenze. Nach den Grenzformalitaeten radeln Sie weiter nach Vyborg mit der beeindruckenden Wyborger Burg. Vom Burgturm haben Sie eine fantastische Sicht auf die Altstadt und den Saimaa-Kanal, der hier in die Ostsee muendet."
4,125, Vyborg - Primorsk - Selenogorsk (ca. 125 km Rad),Vyborg,Selenogorsk,"Ihre heutige Tour fuehrt Sie weiter entlang der Kueste. Unterwegs koennen Sie einen Abstecher nach Primorsk unternehmen, wo sich eine ungewoehnliche Granit-Kirche befindet. Am Abend erreichen Sie Selenogorsk, die Sommerfrische der St. Petersburger."
5,60, Selenogorsk - Repino - St. Petersburg (ca. 60 km Rad),Selenogorsk,St. Petersburg,Durch den Kurort Repino geht es heute weiter nach St. Petersburg. Ab Selenogorsk oder Repino koennen Sie alternativ auch einen Zug vor Ort nach St. Petersburg nehmen (nicht im Reisepreis enthalten).
6,0, St. Petersburg,St. Petersburg,St. Petersburg,"Nutzen Sie den Tag, um St. Petersburg auf eigene Faust zu erkunden. Besonders sehenswert sind die Peter-und-Paul-Festung, der Winter-Palast, die Isaaks-Kathedrale, die Auferstehungskathedrale und das Alexander-Newski-Kloster."
7,0, St. Petersburg,St. Petersburg,St. Petersburg,"Besuchen Sie den Winterpalast mit der weltberuehmten Eremitage, fahren Sie mit der stilvollen Metro oder unternehmen Sie einen Einkaufsbummel ueber den Newsky-Prospekt. Weitere gefuehrte Ausfluege koennen ebenso hinzugebucht werden."
8,10," St. Petersburg - Peterhof (ca. 35 km per Bahn, ca. 10 km Rad)",St. Petersburg,Peterhof,"Zugfahrt nach Peterhof (nicht im Reisepreis enthalten, ca. 5 Euro p.P.). Hier hat sich der Zar Peter der Groﬂe den Palast Peterhof mit seiner beeindruckenden Parkanlagen und Kaskaden am Finnischen Meerbusen bauen lassen. Das Schloss wird heute auch das ""Russische Versailles"" genannt und zaehlt zum UNESCO-Weltkulturerbe."
9,115," Peterhof - Kingissepp (ca. 115 km Rad)
",Peterhof,Kingisepp,"Heute geht es mit dem Fahrrad weiter durch die Provinz Leningradskaya Oblast. Kingissepp, ehemals Yama oder Yamaburg genannt, liegt an dem Fluss Luga. Sehenswert ist die Katharinen-Kathadrale aus dem 18. Jahrhundert und das oertliche Geschichtsmuseum Kingissepp."
10,80," Kingissepp - Iwanogorod - Grenze zu Estland - Narva - Toila (ca. 80 km Rad)
",Kingisepp,Toila,"Heute geht es weiter nach Estland. An der Grenze erwartet Sie auf der russischen Seite die gewaltige Burganlage Iwangorod aus dem 15. Jahrhundert, gegenueber auf der estnischen Seite gelangen Sie dann zur Hermannsfestung. Grenzuebertritt bei Narva. Narva ist die drittgroeﬂte Stadt Estlands und liegt am Grenzfluss Narva, der anschlieﬂend in den Golf von Finnland flieﬂt. Weiterfahrt nach Toila."
11,115," Toila - Aseri - Lahemaa Nationalpark (ca. 115 km Rad)
",Toila,Lahemaa Nationalpark,"Von Toila fahren Sie ueber Aseri und Kunda in den Lahemaa-Nationalpark. In Purtse koennen Sie die Vasallenburg Purtse aus dem 16. Jahrhundert mit besonders starken Mauern als befestigtes Gutshaus besichtigen. In Kunda koennen Sie die groﬂe Zement-Fabrik aus der Sowjetzeit sehen und das Museum hierzu mit einem spannenden Spaziergang durch den Drehoffen besuchen. In der Naehe liegt malerisch die Burgruine Toolse, von der man einen herrlichen Blick auf den Finnischen Meerbusen hat."
12,40, Lahemaa-Nationalpark mit Kaesmu und Altja (ca. 0 - 40 km Rad),Lahemaa Nationalpark,Lahemaa Nationalpark,"Heute koennen Sie in Ihrem Hotel entspannen oder den Lahemaa-Nationalpark mit seinen Waeldern, Mooren und seiner einmaligen von Findlingen gesaeumten Kuestenlinie besuchen. Seltene Tiere wie Wolf, Baer und Schwarzstorch sind hier zu Hause. In den Fischerdoerfenr Kaesmu oder Altja koennen Sie eine Rast einlegen und die Gutshoefe Palmse, Vihula, Sagadi und Kolga besuchen. Die Laenge der Tagesetappe und Ihre Route bestimmen Sie heute selbst, da die Straﬂen und Wege gut ausgebaut und und zu finden sind."
13,90," Lahemaa Nationalpark Kolga - Jaegala Wasserfall - Tallinn (ca. 90 km)
",Lahemaa Nationalpark,Tallinn,"Zunaechst fahren Sie nach Kolga und zum Jaegala-Wasserfall, dem Jaegala juga. Von dort fahren Sie ueber den Stadtteil Pirtia an der alten Ruine des Brigittenklosters vorbei - im Sommer eine beliebte Konzertkulisse. Sie erreichen die Altstadt von Tallinn."
14,0, Tallinn,Tallinn,Tallinn,"Heute haben Sie einen ganzgen Tag Zeit, Tallinn, das fruehere Reval zu erkunden. Entdecken Sie die mittelalterliche Altstadt mit seiner Ober- und Unterstadt, dem Rathausplatz mit dem gotischen Rathaus aus dem 14. Jahrhundert, den Hafen mit dem Meeresmuseum und das neue Rotermanni-Viertel."
15,20," Abreise (ca. 20 km Rad)
",Tallinn,Helsinki,"Morgens Faehrueberfahrt nach Helsinki. In Helsinki fahren Sie durch das Zentrum am Dom und der alten Universitaet vorbei zum Auﬂenhafen Helsinkis nach Vuosaari (ca. 16 km), wo am Nachmittag Ihre Faehre nach Travemuende ablegt. Einschiffung auf der Faehre nach Luebeck-Travemuende."
